종목코드,종목명,현재가,거래량비율,등락률,변동성,매집,돌파,흔들기,세력신호,급등직전,유사도,유사패턴,테마,뉴스점수,테마점수,AI_SCORE,추천일,실시간신호
86520,에코프로,146500,2.41,12.87,13.38,False,True,False,False,False,80,상보 (그래핀),기타,0,0,107.79,2026-05-25,
196170,알테오젠,364500,1.44,3.7,7.82,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,64.6,2026-05-25,
33780,KT&G,188000,0.82,3.87,3.19,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,61.84,2026-05-25,
3550,LG,118500,1.43,-3.66,3.71,False,False,False,False,True,20,HLB (매집),기타,0,0,67.15,2026-05-25,
18260,삼성에스디에스,194700,1.22,5.07,8.12,False,True,False,False,False,70,LSELECTRIC (전력망),기타,0,0,86.24,2026-05-25,
259960,크래프톤,271000,0.72,5.04,4.61,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,63.68,2026-05-25,
47050,포스코인터내셔널,70300,0.64,4.93,3.98,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,63.06,2026-05-25,
16360,삼성증권,129900,0.88,6.13,5.77,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,66.66,2026-05-25,
880,한화,140500,0.63,4.38,4.56,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,61.91,2026-05-25,
250,삼천당제약,372000,0.68,4.79,6.59,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,62.98,2026-05-25,
267270,HD건설기계,166000,0.86,4.21,4.94,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,62.72,2026-05-25,
326030,SK바이오팜,97800,1.43,3.38,3.99,False,False,False,False,True,50,LSELECTRIC (전력망),기타,0,0,103.91,2026-05-25,
353200,대덕전자,151300,0.77,3.35,6.41,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,60.55,2026-05-25,
9830,한화솔루션,42700,0.56,5.17,6.09,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,63.14,2026-05-25,
39030,이오테크닉스,573000,0.78,4.37,7.68,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,62.64,2026-05-25,
9150,삼성전기,1340000,1.33,11.3,11.87,False,True,False,False,False,70,국일제지 (그래핀),반도체,0,30,98.25,2026-05-25,
12330,현대모비스,646000,1.24,-3.58,6.81,False,False,False,False,True,20,에코프로 (돌파),기타,0,0,66.2,2026-05-25,⚡ 급등 직전 
6400,삼성SDI,647000,0.79,5.03,4.64,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,64.01,2026-05-25,
55550,신한지주,98200,0.79,3.59,3.87,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,61.13,2026-05-25,
34730,SK,642000,1.32,11.46,9.97,False,True,False,False,False,70,에코프로 (돌파),기타,0,0,99.52,2026-05-25,
68270,셀트리온,198700,1.23,4.8,4.43,False,False,False,False,True,50,두산에너빌리티 (원전),기타,0,0,105.75,2026-05-25,⚡ 급등 직전 
10120,LS ELECTRIC,281000,0.63,3.5,4.27,False,False,False,False,False,50,LSELECTRIC (전력망),전력망,0,30,69.15,2026-05-25,
42660,한화오션,122200,0.87,7.57,6.87,False,False,False,False,False,50,HLB (매집),조선,0,30,78.49,2026-05-25,
316140,우리금융지주,31550,0.64,3.78,3.01,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,60.76,2026-05-25,
64350,현대로템,206000,0.59,5.37,5.92,False,False,False,False,False,50,두산에너빌리티 (원전),방산,0,30,72.69,2026-05-25,
3670,포스코퓨처엠,243000,0.65,4.74,5.97,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,62.73,2026-05-25,
247540,에코프로비엠,216000,1.64,10.77,9.14,False,True,False,False,False,70,에코프로 (돌파),기타,0,0,99.74,2026-05-25,
96770,SK이노베이션,123700,0.53,4.12,3.4,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,60.89,2026-05-25,
272210,한화시스템,109400,0.67,5.39,6.58,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,64.13,2026-05-25,
79550,LIG디펜스앤에어로스페이스,925000,0.86,7.31,7.24,False,False,False,False,False,50,HLB (매집),기타,0,0,68.92,2026-05-25,
86520,에코프로,146500,2.41,12.87,13.38,False,True,False,False,False,80,상보 (그래핀),기타,0,0,107.79,2026-05-25,🔥 거래량 급증 
196170,알테오젠,364500,1.44,3.7,7.82,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,64.6,2026-05-25,
33780,KT&G,188000,0.82,3.87,3.19,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,61.84,2026-05-25,
3550,LG,118500,1.43,-3.66,3.71,False,False,False,False,True,20,HLB (매집),기타,0,0,67.15,2026-05-25,⚡ 급등 직전 
18260,삼성에스디에스,194700,1.22,5.07,8.12,False,True,False,False,False,70,LSELECTRIC (전력망),기타,0,0,86.24,2026-05-25,
259960,크래프톤,271000,0.72,5.04,4.61,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,63.68,2026-05-25,
47050,포스코인터내셔널,70300,0.64,4.93,3.98,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,63.06,2026-05-25,
16360,삼성증권,129900,0.88,6.13,5.77,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,66.66,2026-05-25,
880,한화,140500,0.63,4.38,4.56,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,61.91,2026-05-25,
250,삼천당제약,372000,0.68,4.79,6.59,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,62.98,2026-05-25,
267270,HD건설기계,166000,0.86,4.21,4.94,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,62.72,2026-05-25,
326030,SK바이오팜,97800,1.43,3.38,3.99,False,False,False,False,True,50,LSELECTRIC (전력망),기타,0,0,103.91,2026-05-25,⚡ 급등 직전 
353200,대덕전자,151300,0.77,3.35,6.41,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,60.55,2026-05-25,
9830,한화솔루션,42700,0.56,5.17,6.09,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,63.14,2026-05-25,
39030,이오테크닉스,573000,0.78,4.37,7.68,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,62.64,2026-05-25,
9150,삼성전기,1340000,1.33,11.3,11.87,False,True,False,False,False,70,국일제지 (그래핀),반도체,0,30,98.25,2026-05-25,
12330,현대모비스,646000,1.24,-3.58,6.81,False,False,False,False,True,20,에코프로 (돌파),기타,0,0,66.2,2026-05-25,⚡ 급등 직전 
6400,삼성SDI,647000,0.79,5.03,4.64,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,64.01,2026-05-25,
55550,신한지주,98200,0.79,3.59,3.87,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,61.13,2026-05-25,
34730,SK,642000,1.32,11.46,9.97,False,True,False,False,False,70,에코프로 (돌파),기타,0,0,99.52,2026-05-25,
68270,셀트리온,198700,1.23,4.8,4.43,False,False,False,False,True,50,두산에너빌리티 (원전),기타,0,0,105.75,2026-05-25,⚡ 급등 직전 
10120,LS ELECTRIC,281000,0.63,3.5,4.27,False,False,False,False,False,50,LSELECTRIC (전력망),전력망,0,30,69.15,2026-05-25,
42660,한화오션,122200,0.87,7.57,6.87,False,False,False,False,False,50,HLB (매집),조선,0,30,78.49,2026-05-25,
316140,우리금융지주,31550,0.64,3.78,3.01,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,60.76,2026-05-25,
64350,현대로템,206000,0.59,5.37,5.92,False,False,False,False,False,50,두산에너빌리티 (원전),방산,0,30,72.69,2026-05-25,
3670,포스코퓨처엠,243000,0.65,4.74,5.97,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,62.73,2026-05-25,
247540,에코프로비엠,216000,1.64,10.77,9.14,False,True,False,False,False,70,에코프로 (돌파),기타,0,0,99.74,2026-05-25,
96770,SK이노베이션,123700,0.53,4.12,3.4,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,60.89,2026-05-25,
272210,한화시스템,109400,0.67,5.39,6.58,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,64.13,2026-05-25,
79550,LIG디펜스앤에어로스페이스,925000,0.86,7.31,7.24,False,False,False,False,False,50,HLB (매집),기타,0,0,68.92,2026-05-25,
86520,에코프로,146500,2.41,12.87,13.38,False,True,False,False,False,80,상보 (그래핀),기타,0,0,107.79,2026-05-25,🔥 거래량 급증 
196170,알테오젠,364500,1.44,3.7,7.82,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,64.6,2026-05-25,
33780,KT&G,188000,0.82,3.87,3.19,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,61.84,2026-05-25,
3550,LG,118500,1.43,-3.66,3.71,False,False,False,False,True,20,HLB (매집),기타,0,0,67.15,2026-05-25,⚡ 급등 직전 
18260,삼성에스디에스,194700,1.22,5.07,8.12,False,True,False,False,False,70,LSELECTRIC (전력망),기타,0,0,86.24,2026-05-25,
259960,크래프톤,271000,0.72,5.04,4.61,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,63.68,2026-05-25,
47050,포스코인터내셔널,70300,0.64,4.93,3.98,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,63.06,2026-05-25,
16360,삼성증권,129900,0.88,6.13,5.77,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,66.66,2026-05-25,
880,한화,140500,0.63,4.38,4.56,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,61.91,2026-05-25,
250,삼천당제약,372000,0.68,4.79,6.59,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,62.98,2026-05-25,
267270,HD건설기계,166000,0.86,4.21,4.94,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,62.72,2026-05-25,
326030,SK바이오팜,97800,1.43,3.38,3.99,False,False,False,False,True,50,LSELECTRIC (전력망),기타,0,0,103.91,2026-05-25,⚡ 급등 직전 
353200,대덕전자,151300,0.77,3.35,6.41,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,60.55,2026-05-25,
9830,한화솔루션,42700,0.56,5.17,6.09,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,63.14,2026-05-25,
39030,이오테크닉스,573000,0.78,4.37,7.68,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,62.64,2026-05-25,
9150,삼성전기,1340000,1.33,11.3,11.87,False,True,False,False,False,70,국일제지 (그래핀),반도체,0,30,98.25,2026-05-25,
12330,현대모비스,646000,1.24,-3.58,6.81,False,False,False,False,True,20,에코프로 (돌파),기타,0,0,66.2,2026-05-25,⚡ 급등 직전 
6400,삼성SDI,647000,0.79,5.03,4.64,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,64.01,2026-05-25,
55550,신한지주,98200,0.79,3.59,3.87,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,61.13,2026-05-25,
34730,SK,642000,1.32,11.46,9.97,False,True,False,False,False,70,에코프로 (돌파),기타,0,0,99.52,2026-05-25,
68270,셀트리온,198700,1.23,4.8,4.43,False,False,False,False,True,50,두산에너빌리티 (원전),기타,0,0,105.75,2026-05-25,⚡ 급등 직전 
10120,LS ELECTRIC,281000,0.63,3.5,4.27,False,False,False,False,False,50,LSELECTRIC (전력망),전력망,0,30,69.15,2026-05-25,
42660,한화오션,122200,0.87,7.57,6.87,False,False,False,False,False,50,HLB (매집),조선,0,30,78.49,2026-05-25,
316140,우리금융지주,31550,0.64,3.78,3.01,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,60.76,2026-05-25,
64350,현대로템,206000,0.59,5.37,5.92,False,False,False,False,False,50,두산에너빌리티 (원전),방산,0,30,72.69,2026-05-25,
3670,포스코퓨처엠,243000,0.65,4.74,5.97,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,62.73,2026-05-25,
247540,에코프로비엠,216000,1.64,10.77,9.14,False,True,False,False,False,70,에코프로 (돌파),기타,0,0,99.74,2026-05-25,
96770,SK이노베이션,123700,0.53,4.12,3.4,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,60.89,2026-05-25,
272210,한화시스템,109400,0.67,5.39,6.58,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,64.13,2026-05-25,
79550,LIG디펜스앤에어로스페이스,925000,0.86,7.31,7.24,False,False,False,False,False,50,HLB (매집),기타,0,0,68.92,2026-05-25,
86520,에코프로,146500,2.41,12.87,13.38,False,True,False,False,False,80,상보 (그래핀),기타,0,0,107.79,2026-05-25,🔥 거래량 급증 
196170,알테오젠,364500,1.44,3.7,7.82,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,64.6,2026-05-25,
33780,KT&G,188000,0.82,3.87,3.19,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,61.84,2026-05-25,
3550,LG,118500,1.43,-3.66,3.71,False,False,False,False,True,20,HLB (매집),기타,0,0,67.15,2026-05-25,⚡ 급등 직전 
18260,삼성에스디에스,194700,1.22,5.07,8.12,False,True,False,False,False,70,LSELECTRIC (전력망),기타,0,0,86.24,2026-05-25,
259960,크래프톤,271000,0.72,5.04,4.61,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,63.68,2026-05-25,
47050,포스코인터내셔널,70300,0.64,4.93,3.98,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,63.06,2026-05-25,
16360,삼성증권,129900,0.88,6.13,5.77,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,66.66,2026-05-25,
880,한화,140500,0.63,4.38,4.56,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,61.91,2026-05-25,
250,삼천당제약,372000,0.68,4.79,6.59,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,62.98,2026-05-25,
267270,HD건설기계,166000,0.86,4.21,4.94,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,62.72,2026-05-25,
326030,SK바이오팜,97800,1.43,3.38,3.99,False,False,False,False,True,50,LSELECTRIC (전력망),기타,0,0,103.91,2026-05-25,⚡ 급등 직전 
353200,대덕전자,151300,0.77,3.35,6.41,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,60.55,2026-05-25,
9830,한화솔루션,42700,0.56,5.17,6.09,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,63.14,2026-05-25,
39030,이오테크닉스,573000,0.78,4.37,7.68,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,62.64,2026-05-25,
9150,삼성전기,1340000,1.33,11.3,11.87,False,True,False,False,False,70,국일제지 (그래핀),반도체,0,30,98.25,2026-05-25,
12330,현대모비스,646000,1.24,-3.58,6.81,False,False,False,False,True,20,에코프로 (돌파),기타,0,0,66.2,2026-05-25,⚡ 급등 직전 
6400,삼성SDI,647000,0.79,5.03,4.64,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,64.01,2026-05-25,
55550,신한지주,98200,0.79,3.59,3.87,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,61.13,2026-05-25,
34730,SK,642000,1.32,11.46,9.97,False,True,False,False,False,70,에코프로 (돌파),기타,0,0,99.52,2026-05-25,
68270,셀트리온,198700,1.23,4.8,4.43,False,False,False,False,True,50,두산에너빌리티 (원전),기타,0,0,105.75,2026-05-25,⚡ 급등 직전 
10120,LS ELECTRIC,281000,0.63,3.5,4.27,False,False,False,False,False,50,LSELECTRIC (전력망),전력망,0,30,69.15,2026-05-25,
42660,한화오션,122200,0.87,7.57,6.87,False,False,False,False,False,50,HLB (매집),조선,0,30,78.49,2026-05-25,
316140,우리금융지주,31550,0.64,3.78,3.01,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,60.76,2026-05-25,
64350,현대로템,206000,0.59,5.37,5.92,False,False,False,False,False,50,두산에너빌리티 (원전),방산,0,30,72.69,2026-05-25,
3670,포스코퓨처엠,243000,0.65,4.74,5.97,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,62.73,2026-05-25,
247540,에코프로비엠,216000,1.64,10.77,9.14,False,True,False,False,False,70,에코프로 (돌파),기타,0,0,99.74,2026-05-25,
96770,SK이노베이션,123700,0.53,4.12,3.4,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,60.89,2026-05-25,
272210,한화시스템,109400,0.67,5.39,6.58,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,64.13,2026-05-25,
79550,LIG디펜스앤에어로스페이스,925000,0.86,7.31,7.24,False,False,False,False,False,50,HLB (매집),기타,0,0,68.92,2026-05-25,
86520,에코프로,146500,2.41,12.87,13.38,False,True,False,False,False,80,상보 (그래핀),기타,0,0,107.79,2026-05-25,🔥 거래량 급증 
196170,알테오젠,364500,1.44,3.7,7.82,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,64.6,2026-05-25,
33780,KT&G,188000,0.82,3.87,3.19,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,61.84,2026-05-25,
3550,LG,118500,1.43,-3.66,3.71,False,False,False,False,True,20,HLB (매집),기타,0,0,67.15,2026-05-25,⚡ 급등 직전 
18260,삼성에스디에스,194700,1.22,5.07,8.12,False,True,False,False,False,70,LSELECTRIC (전력망),기타,0,0,86.24,2026-05-25,
259960,크래프톤,271000,0.72,5.04,4.61,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,63.68,2026-05-25,
47050,포스코인터내셔널,70300,0.64,4.93,3.98,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,63.06,2026-05-25,
16360,삼성증권,129900,0.88,6.13,5.77,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,66.66,2026-05-25,
880,한화,140500,0.63,4.38,4.56,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,61.91,2026-05-25,
250,삼천당제약,372000,0.68,4.79,6.59,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,62.98,2026-05-25,
267270,HD건설기계,166000,0.86,4.21,4.94,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,62.72,2026-05-25,
326030,SK바이오팜,97800,1.43,3.38,3.99,False,False,False,False,True,50,LSELECTRIC (전력망),기타,0,0,103.91,2026-05-25,⚡ 급등 직전 
353200,대덕전자,151300,0.77,3.35,6.41,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,60.55,2026-05-25,
9830,한화솔루션,42700,0.56,5.17,6.09,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,63.14,2026-05-25,
39030,이오테크닉스,573000,0.78,4.37,7.68,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,62.64,2026-05-25,
9150,삼성전기,1340000,1.33,11.3,11.87,False,True,False,False,False,70,국일제지 (그래핀),반도체,0,30,98.25,2026-05-25,
12330,현대모비스,646000,1.24,-3.58,6.81,False,False,False,False,True,20,에코프로 (돌파),기타,0,0,66.2,2026-05-25,⚡ 급등 직전 
6400,삼성SDI,647000,0.79,5.03,4.64,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,64.01,2026-05-25,
55550,신한지주,98200,0.79,3.59,3.87,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,61.13,2026-05-25,
34730,SK,642000,1.32,11.46,9.97,False,True,False,False,False,70,에코프로 (돌파),기타,0,0,99.52,2026-05-25,
68270,셀트리온,198700,1.23,4.8,4.43,False,False,False,False,True,50,두산에너빌리티 (원전),기타,0,0,105.75,2026-05-25,⚡ 급등 직전 
10120,LS ELECTRIC,281000,0.63,3.5,4.27,False,False,False,False,False,50,LSELECTRIC (전력망),전력망,0,30,69.15,2026-05-25,
42660,한화오션,122200,0.87,7.57,6.87,False,False,False,False,False,50,HLB (매집),조선,0,30,78.49,2026-05-25,
316140,우리금융지주,31550,0.64,3.78,3.01,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,60.76,2026-05-25,
64350,현대로템,206000,0.59,5.37,5.92,False,False,False,False,False,50,두산에너빌리티 (원전),방산,0,30,72.69,2026-05-25,
3670,포스코퓨처엠,243000,0.65,4.74,5.97,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,62.73,2026-05-25,
247540,에코프로비엠,216000,1.64,10.77,9.14,False,True,False,False,False,70,에코프로 (돌파),기타,0,0,99.74,2026-05-25,
96770,SK이노베이션,123700,0.53,4.12,3.4,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,60.89,2026-05-25,
272210,한화시스템,109400,0.67,5.39,6.58,False,False,False,False,False,50,두산에너빌리티 (원전),기타,0,0,64.13,2026-05-25,
79550,LIG디펜스앤에어로스페이스,925000,0.86,7.31,7.24,False,False,False,False,False,50,HLB (매집),기타,0,0,68.92,2026-05-25,
86520,에코프로,146500,2.41,12.87,13.38,False,True,False,False,False,80,상보 (그래핀),기타,0,0,107.79,2026-05-25,🔥 거래량 급증 
196170,알테오젠,364500,1.44,3.7,7.82,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,64.6,2026-05-25,
33780,KT&G,188000,0.82,3.87,3.19,False,False,False,False,False,50,LSELECTRIC (전력망),기타,0,0,61.84,2026-05-25,
3550,LG,118500,1.43,-3.66,3.71,False,False,False,False,True,20,HLB (매집),기타,0,0,67.15,2026-05-25,⚡ 급등 직전 
